location,                                                   type,           hint,                 scene,                          id,                         item
Hatch Chicken,                                              npc,            NONE,                 GROTTOS,                        WEIRD_EGG,                  WEIRD_EGG
Hatch Pocket Cucco,                                         npc,            NONE,                 GROTTOS,                        POCKET_EGG,                 POCKET_EGG
Link's House Pot,                                           pot,            NONE,                 LINK_HOUSE,                     0x0002,                     RECOVERY_HEART
Mido's House Top Left,                                      chest,          NONE,                 KOKIRI_MIDO,                    0x00,                       RUPEE_BLUE
Mido's House Top Right,                                     chest,          NONE,                 KOKIRI_MIDO,                    0x01,                       RUPEE_BLUE
Mido's House Bottom Left,                                   chest,          NONE,                 KOKIRI_MIDO,                    0x02,                       RUPEE_GREEN
Mido's House Bottom Right,                                  chest,          NONE,                 KOKIRI_MIDO,                    0x03,                       RECOVERY_HEART
Saria's House Heart 1,                                      heart,          NONE,                 KOKIRI_SARIA,                   0x00002,                    RECOVERY_HEART
Saria's House Heart 2,                                      heart,          NONE,                 KOKIRI_SARIA,                   0x00003,                    RECOVERY_HEART
Saria's House Heart 3,                                      heart,          NONE,                 KOKIRI_SARIA,                   0x00004,                    RECOVERY_HEART
Saria's House Heart 4,                                      heart,          NONE,                 KOKIRI_SARIA,                   0x00005,                    RECOVERY_HEART
Kokiri Forest Kokiri Sword Chest,                           chest,          NONE,                 KOKIRI_FOREST,                  0x00,                       SWORD_KOKIRI
Kokiri Forest Storms Grotto,                                chest,          NONE,                 GROTTOS,                        0x0c,                       RUPEE_RED
Kokiri Forest GS Soil,                                      gs,             NONE,                 KOKIRI_FOREST,                  0x68,                       GS_TOKEN
Kokiri Forest GS Night Child,                               gs,             NONE,                 KOKIRI_FOREST,                  0x69,                       GS_TOKEN
Kokiri Forest GS Night Adult,                               gs,             NONE,                 KOKIRI_FOREST,                  0x6a,                       GS_TOKEN
Kokiri Forest Grass Child Near Crawl 1,                     grass,          NONE,                 KOKIRI_FOREST,                  0x0003c,                    RANDOM
Kokiri Forest Grass Child Near Crawl 2,                     grass,          NONE,                 KOKIRI_FOREST,                  0x0003d,                    RANDOM
Kokiri Forest Grass Child Near Crawl 3,                     grass,          NONE,                 KOKIRI_FOREST,                  0x0003e,                    RANDOM
Kokiri Forest Grass Child Near Crawl 4,                     grass,          NONE,                 KOKIRI_FOREST,                  0x0003f,                    RANDOM
Kokiri Forest Grass Child Near Crawl 5,                     grass,          NONE,                 KOKIRI_FOREST,                  0x00040,                    RANDOM
Kokiri Forest Grass Child Near Crawl 6,                     grass,          NONE,                 KOKIRI_FOREST,                  0x00041,                    RANDOM
Kokiri Forest Grass Child Near Crawl 7,                     grass,          NONE,                 KOKIRI_FOREST,                  0x00042,                    RANDOM
Kokiri Forest Grass Child Near Crawl 8,                     grass,          NONE,                 KOKIRI_FOREST,                  0x00043,                    RANDOM
Kokiri Forest Grass Child 1,                                grass,          NONE,                 KOKIRI_FOREST,                  0x00044,                    RANDOM
Kokiri Forest Grass Child 2,                                grass,          NONE,                 KOKIRI_FOREST,                  0x00045,                    RANDOM
Kokiri Forest Grass Child 3,                                grass,          NONE,                 KOKIRI_FOREST,                  0x00046,                    RANDOM
Kokiri Forest Grass Child 4,                                grass,          NONE,                 KOKIRI_FOREST,                  0x00047,                    RANDOM
Kokiri Forest Grass Child Crawl 1,                          grass,          NONE,                 KOKIRI_FOREST,                  0x00202,                    RECOVERY_HEART
Kokiri Forest Grass Child Crawl 2,                          grass,          NONE,                 KOKIRI_FOREST,                  0x00203,                    DEKU_SEEDS_5
Kokiri Forest Grass Child Crawl 3,                          grass,          NONE,                 KOKIRI_FOREST,                  0x00204,                    RECOVERY_HEART
Kokiri Forest Grass Child Kokiri,                           grass,          NONE,                 KOKIRI_FOREST,                  0x0003b,                    NOTHING
Kokiri Forest Grass Adult 01,                               grass,          NONE,                 KOKIRI_FOREST,                  0x08017,                    RANDOM
Kokiri Forest Grass Adult 02,                               grass,          NONE,                 KOKIRI_FOREST,                  0x18017,                    RANDOM
Kokiri Forest Grass Adult 03,                               grass,          NONE,                 KOKIRI_FOREST,                  0x28017,                    RANDOM
Kokiri Forest Grass Adult 04,                               grass,          NONE,                 KOKIRI_FOREST,                  0x38017,                    RANDOM
Kokiri Forest Grass Adult 05,                               grass,          NONE,                 KOKIRI_FOREST,                  0x48017,                    RANDOM
Kokiri Forest Grass Adult 06,                               grass,          NONE,                 KOKIRI_FOREST,                  0x58017,                    RANDOM
Kokiri Forest Grass Adult 07,                               grass,          NONE,                 KOKIRI_FOREST,                  0x68017,                    RANDOM
Kokiri Forest Grass Adult 08,                               grass,          NONE,                 KOKIRI_FOREST,                  0x78017,                    RANDOM
Kokiri Forest Grass Adult 09,                               grass,          NONE,                 KOKIRI_FOREST,                  0x88017,                    RANDOM
Kokiri Forest Grass Adult 10,                               grass,          NONE,                 KOKIRI_FOREST,                  0x98017,                    RANDOM
Kokiri Forest Grass Adult 11,                               grass,          NONE,                 KOKIRI_FOREST,                  0xa8017,                    RANDOM
Kokiri Forest Grass Adult 12,                               grass,          NONE,                 KOKIRI_FOREST,                  0xb8017,                    RANDOM
Kokiri Forest Grass Adult Near Crawl 1,                     grass,          NONE,                 KOKIRI_FOREST,                  0x0800f,                    RANDOM
Kokiri Forest Grass Adult Near Crawl 2,                     grass,          NONE,                 KOKIRI_FOREST,                  0x08010,                    RANDOM
Kokiri Forest Grass Adult Near Crawl 3,                     grass,          NONE,                 KOKIRI_FOREST,                  0x08011,                    RANDOM
Kokiri Forest Grass Adult Near Crawl 4,                     grass,          NONE,                 KOKIRI_FOREST,                  0x08012,                    RANDOM
Kokiri Forest Grass Adult Near Crawl 5,                     grass,          NONE,                 KOKIRI_FOREST,                  0x08013,                    RANDOM
